week,corn_anom_mean,corn_anom_std,soy_anom_mean,soy_anom_std,corn_severe_pct
9,-0.012,0.0725,-0.0093,0.0685,27.7
10,-0.0021,0.0739,0.0012,0.0699,24.4
11,-0.0154,0.0667,-0.0123,0.0628,26.2
12,0.0032,0.0566,0.0059,0.0529,19.1
14,0.0118,0.0422,0.0135,0.0396,9.1
15,0.0295,0.043,0.0312,0.0407,4.6
16,0.0411,0.0382,0.0436,0.0368,1.9
17,0.0387,0.0262,0.0389,0.025,0.5
18,0.0386,0.0247,0.0388,0.025,0.5
19,0.0132,0.0252,0.0136,0.0256,1.5
20,-0.0125,0.0256,-0.012,0.0255,6.7
21,0.0043,0.0292,0.0057,0.0296,4.0
22,-0.006,0.0332,-0.003,0.0347,7.4
23,0.0091,0.0396,0.0117,0.0414,4.2
24,-0.0088,0.0443,-0.0062,0.0477,13.7
25,-0.0703,0.0446,-0.0675,0.0489,72.7
26,-0.0951,0.0496,-0.0946,0.0503,84.0
27,-0.1017,0.0516,-0.1023,0.0507,85.5
28,-0.099,0.0618,-0.0997,0.0614,78.8
29,-0.101,0.0583,-0.1009,0.0598,82.0
30,-0.0796,0.0577,-0.0782,0.0602,71.8
31,-0.0565,0.064,-0.0573,0.0674,60.7
32,-0.0455,0.0647,-0.0483,0.0691,48.4
33,-0.0713,0.0551,-0.0739,0.0581,70.0
34,-0.0716,0.0573,-0.0741,0.0594,68.2
35,-0.0617,0.0585,-0.0647,0.06,61.6
36,-0.0465,0.0637,-0.0486,0.0647,47.3
37,-0.0456,0.0693,-0.0491,0.0692,51.4
38,-0.0473,0.0648,-0.0476,0.0609,50.7
39,-0.0667,0.0639,-0.0672,0.0596,63.6
40,-0.0926,0.0635,-0.0931,0.0592,79.7
