week,corn_anom_mean,corn_anom_std,soy_anom_mean,soy_anom_std,corn_severe_pct
9,-0.1065,0.0291,-0.1067,0.0277,96.6
10,-0.0936,0.0318,-0.0938,0.0302,90.9
11,-0.0984,0.0348,-0.0989,0.033,91.0
12,-0.0628,0.0396,-0.0641,0.0376,57.3
13,-0.0698,0.0422,-0.0709,0.0402,62.4
14,-0.0604,0.0403,-0.0619,0.0381,52.4
15,-0.0463,0.0404,-0.0481,0.0388,39.2
16,-0.0359,0.0461,-0.0377,0.0449,33.3
17,-0.0197,0.0501,-0.0218,0.0487,26.5
18,0.018,0.041,0.0161,0.0379,8.5
19,0.0035,0.0392,0.0006,0.0352,10.3
20,-0.0298,0.0388,-0.0317,0.0343,29.0
21,-0.0254,0.0448,-0.0276,0.041,24.2
22,-0.0305,0.0407,-0.0336,0.037,30.5
23,0.0262,0.05,0.023,0.0469,5.8
24,0.0288,0.0569,0.0257,0.0523,7.4
25,-0.0307,0.0568,-0.0321,0.0526,37.5
26,-0.0725,0.0546,-0.0732,0.0507,64.5
27,-0.0317,0.0539,-0.0342,0.053,43.3
28,-0.0341,0.057,-0.0376,0.055,43.9
29,-0.0745,0.0553,-0.0773,0.0516,69.8
30,-0.0786,0.056,-0.0826,0.052,72.6
31,-0.0996,0.0517,-0.1045,0.048,81.9
32,-0.0819,0.0673,-0.0869,0.0646,70.9
33,-0.0751,0.0536,-0.0782,0.0504,72.3
34,-0.096,0.0565,-0.1,0.051,80.3
35,-0.0947,0.0595,-0.0996,0.0539,79.8
36,-0.1038,0.0482,-0.1081,0.0439,85.8
37,-0.0976,0.0412,-0.1015,0.0371,87.3
38,-0.103,0.0471,-0.1048,0.0444,87.6
39,-0.1278,0.0442,-0.1296,0.0421,93.3
40,-0.15,0.0457,-0.1513,0.0438,97.2
