week,corn_anom_mean,corn_anom_std,soy_anom_mean,soy_anom_std,corn_severe_pct
9,-0.1321,0.068,-0.1304,0.0641,98.4
10,-0.1231,0.0677,-0.1218,0.0634,96.2
11,-0.1369,0.0744,-0.1349,0.0691,94.5
12,-0.1421,0.0798,-0.1382,0.0775,91.9
13,-0.154,0.0783,-0.1504,0.0762,95.6
14,-0.1556,0.0818,-0.1514,0.0796,95.1
15,-0.1549,0.0844,-0.1508,0.0831,94.0
16,-0.1785,0.0906,-0.1735,0.0898,96.1
17,-0.1258,0.1098,-0.126,0.1081,76.4
18,0.0051,0.1243,0.0058,0.1155,32.9
19,-0.08,0.0918,-0.0801,0.0953,61.0
20,-0.1678,0.1024,-0.1646,0.1082,85.5
21,-0.1624,0.1044,-0.1555,0.1096,83.8
22,-0.0743,0.1247,-0.0706,0.1304,57.3
23,-0.0482,0.0973,-0.0485,0.0977,43.6
24,-0.1167,0.0984,-0.1148,0.1032,73.7
25,-0.1748,0.0976,-0.1714,0.1036,89.3
26,-0.1862,0.0858,-0.184,0.0887,97.1
27,-0.0808,0.1035,-0.0786,0.1034,59.7
28,-0.1354,0.0909,-0.1316,0.0913,85.0
29,-0.1712,0.0933,-0.17,0.0952,94.8
30,-0.1264,0.1057,-0.1246,0.104,83.0
31,-0.1783,0.0953,-0.1789,0.0934,96.8
32,-0.2021,0.0955,-0.2026,0.0968,99.6
33,-0.1699,0.0938,-0.1685,0.0956,94.0
34,-0.1978,0.094,-0.1981,0.0943,99.5
35,-0.206,0.0956,-0.2061,0.0953,100.0
36,-0.202,0.0956,-0.2019,0.0954,100.0
37,-0.1841,0.0938,-0.1835,0.0934,99.1
38,-0.1593,0.0843,-0.1586,0.0802,97.5
39,-0.1994,0.0987,-0.1971,0.0944,98.9
40,-0.1811,0.0919,-0.1781,0.0882,96.9
